Printer,Print File Name,Date,Total Print Time,Estimated Material Area (in),Estimated Material Lenght,Print Lenght,Print Area,Estimated Percentage of Waste,Material,Ink Consumption cc sq in,MATERIAL FORMULA 1,MATERIAL FORMULA 2
Roland,JE Foster Large Wall logo graphic 8 5 24_HPW36.eps,08/06/2024,0:26:57,4941,137.24,107.2362205,3217.086614,0.3488343183,"High Performance White 36""",0.4965337249,"High Performance White 36""",
Roland,JE Foster UPDATED 12 inch circle logo 3 1 24 copy.eps,02/05/2024,0:09:59,0,39.49,39.48622047,1031.569737,Can't Estimate Waste,,0.3953276113,,
Roland,JE Foster White Door Logos 4 1 24_HPW36.eps,04/02/2024,0:15:04,2922,81.17,51.16653543,1753.86394,0.3997718085,"High Performance White 36""",0.4509996368,"High Performance White 36""",
Roland,Jeff Gates real estate banner.eps,06/28/2024,0:13:01,0,52.21,52.21259843,2612.068851,Can't Estimate Waste,,0.5900426397,,
Roland,John Dickey inserts NEW 214   9-20-24_RUB36.eps,09/23/2024,0:08:08,1728,48.00,18,425.2464567,0.7539083005,"Roll-up Banner 36""",0.8221867449,"Roll-up Banner 36""",
Roland,Just Pilates Door Sign 12x18 FINAL  3-26-24_HPW24.eps,03/26/2024,0:13:55,2814,71.42,26.41653543,494.9356318,0.8241241467,"High Performance White 24""",2.398566447,"High Performance White 24""",
Roland,kamala hawk tuah 2024.eps,08/02/2024,0:06:59,0,19.08,19.08346457,483.7057214,Can't Estimate Waste,,0.3188384863,,
Roland,Kinner Allie 2024_BAN54.eps,06/03/2024,0:49:00,6211,115.01,100.0137795,3801.901765,0.3878508425,"Banner 54""",0.5960511713,"Banner 54""",
Roland,Knights & Ladies Aux Rollup Banner 3-20-24_RUB36.eps,03/21/2024,0:18:01,3091,103.03,88.02755906,2775.294067,0.1020868293,"Roll-up Banner 36""",0.07196642778,"Roll-up Banner 36""",
Roland,KUMC  Decal  July13th  6-13-24_INT30.eps,06/13/2024,0:07:00,879,29.29,14.29173228,369.1993329,0.5798594528,"Intermediate White 30""",0.1825355411,"Intermediate White 30""",
Roland,KUMC Decal August 31st  7-31-24.eps,07/31/2024,0:06:56,0,21.88,21.87519685,565.1035104,Can't Estimate Waste,,0.2504886227,,
Roland,KUMC Decal March 23rd  2-23-24.eps_HPW36,02/23/2024,0:07:02,1225,51.06,21.05511811,543.9183582,0.5561019979,"High Performance White 36""",0.2652751057,"High Performance White 36""",
Roland,KUMC Decal October 19th 9-19-24_INT30.eps,09/19/2024,0:05:01,888,29.61,14.61102362,377.4476087,0.575104626,"Intermediate White 30""",0.2628603221,"Intermediate White 30""",
